symbol,organ_name,icb_name3,icb_name2,icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
SSG,Công ty Cổ phần Vận tải Biển Hải Âu,Vận tải,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT,2000,2700,2770,2773
SD6,Công ty Cổ phần Sông Đà 6,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
NSH,Công ty Cổ phần Tập đoàn Nhôm Sông Hồng Shalumi,Kim loại,Tài nguyên Cơ bản,Nhôm,CT,1000,1700,1750,1753
QHD,Công ty Cổ phần Que hàn điện Việt Đức,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp phức hợp,CT,2000,2700,2720,2727
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
SSM,Công ty Cổ phần Chế tạo kết cấu thép VNECO.SSM,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
SSN,Công ty Cổ phần Xuất nhập khẩu Thủy sản Sài Gòn,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
SBV,Công ty Cổ phần Siam Brothers Việt Nam,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,5000,5300,5370,5379
QNU,Công ty Cổ phần Môi trường Đô thị Quảng Nam,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
SVN,Công ty Cổ phần Tập đoàn Vexilla Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
SWC,Tổng Công ty Cổ phần Đường Sông Miền Nam,Vận tải,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT,2000,2700,2770,2773
ST8,Công ty Cổ phần Tập đoàn ST8,Thiết bị và Phần cứng,Công nghệ Thông tin,Thiết bị văn phòng,CT,9000,9500,9570,9574
SKN,Công ty Cổ phần Nước giải khát Sanna Khánh Hòa,Bia và đồ uống,Thực phẩm và đồ uống,Đồ uống & giải khát,CT,3000,3500,3530,3537
RTB,Công ty Cổ phần Cao su Tân Biên,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
SNZ,Tổng Công ty Cổ phần Phát triển Khu Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
STC,Công ty Cổ phần Sách và Thiết bị trường học Thành phố Hồ Chí Minh,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT,5000,5500,5550,5557
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
TBT,Công ty Cổ phần Xây dựng Công trình Giao thông Bến Tre,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
STL,Công ty Cổ phần Sông Đà - Thăng Long,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
STP,Công ty Cổ phần Công nghiệp Thương mại Sông Đà,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
STS,Công ty Cổ phần Dịch vụ vận tải Sài Gòn,Vận tải,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT,2000,2700,2770,2779
SSI,Công ty Cổ phần Chứng khoán SSI,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
STT,Công ty Cổ phần Vận chuyển Sài Gòn Tourist,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
SBR,Công ty Cổ phần Cao su Sông Bé,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
SRB,Công ty Cổ phần Tập đoàn Sara,Phần mềm & Dịch vụ Máy tính,Công nghệ Thông tin,Phần mềm,CT,9000,9500,9530,9537
STW,Công ty Cổ phần Cấp nước Sóc Trăng,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
SVH,Công ty Cổ phần Thủy điện Sông Vàng,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
TCR,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
SHC,Công ty Cổ phần Hàng hải Sài Gòn,Vận tải,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT,2000,2700,2770,2773
NSL,Công ty Cổ phần Cấp nước Sơn La,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
SHI,Công ty Cổ phần Quốc tế Sơn Hà,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
SDU,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
SVC,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,CT,3000,3300,3350,3353
SVD,Công ty Cổ phần Đầu tư & Thương mại Vũ Đăng,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
SVI,Công ty Cổ phần Bao bì Biên Hòa,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
GND,Công ty Cổ phần Gạch ngói Đồng Nai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
TCT,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Sản xuất giấy,CT,1000,1700,1730,1737
TV6,Công ty Cổ phần Tập đoàn EMA LAND,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,5000,5300,5370,5379
SZE,Công ty Cổ phần Môi trường Sonadezi,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
SZL,Công ty Cổ phần Sonadezi Long Thành,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
SZB,Công ty Cổ phần Sonadezi Long Bình,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
TA6,Công ty Cổ phần Đầu tư và Xây lắp Thành An 665,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TA9,Công ty Cổ phần Xây lắp Thành An 96,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TKA,Công ty Cổ phần Bao bì Tân Khánh An,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,5000,5300,5370,5379
TLP,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
SVG,Công ty Cổ phần Hơi kỹ nghệ Que hàn,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp phức hợp,CT,2000,2700,2720,2727
TAL,Công Ty Cổ Phần Đầu Tư Bất Động Sản Taseco,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
UDC,Công ty Cổ phần Xây dựng và Phát triển đô thị Tỉnh Bà Rịa - Vũng Tàu,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TAW,Công ty Cổ phần Cấp nước Trung An,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
TB8,Công ty Cổ phần Sản xuất và Kinh doanh Vật tư Thiết bị - VVMI,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
UNI,Công ty Cổ phần Đầu tư và Phát triển Sao Mai Việt,Phần mềm & Dịch vụ Máy tính,Công nghệ Thông tin,Dịch vụ Máy tính,CT,9000,9500,9530,9533
TBD,Tổng công ty Thiết bị điện Đông Anh - Công ty Cổ phần,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT,2000,2700,2730,2737
TBH,Công ty Cổ phần Tổng Bách Hóa,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
TBW,Công ty cổ phần Nước sạch Thái Bình,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
TBX,Công ty Cổ phần Xi măng Thái Bình,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
TCL,Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Vận tải,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT,2000,2700,2770,2779
TCO,Công ty Cổ phần TCO Holdings,Vận tải,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT,2000,2700,2770,2779
TCI,Công ty Cổ phần Chứng khoán Thành Công,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
G36,Tổng Công ty 36 - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TCW,Công ty Cổ phần Kho Vận Tân Cảng,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",CT,8000,8600,8630,8637
VCP,Công ty Cổ phần Xây dựng và Năng lượng VCP,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
GTD,Công ty Cổ phần Giầy Thượng Đình,Hàng cá nhân,Hàng cá nhân & Gia dụng,Giầy dép,CT,3000,3700,3760,3765
TDH,Công ty Cổ phần Phát triển Nhà Thủ Đức,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
THN,Công ty Cổ phần Cấp nước Thanh Hóa,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
TTD,Công ty Cổ phần Bệnh viện Tim Tâm Đức,Thiết bị và Dịch vụ Y tế,Y tế,Chăm sóc y tế,CT,4000,4500,4530,4533
PAT,Công ty Cổ phần Phốt pho Apatit Việt Nam,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
THB,Công ty Cổ phần Bia Hà Nội - Thanh Hóa,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
TDM,Công ty Cổ phần Nước Thủ Dầu Một,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
THG,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
VC7,Công ty Cổ phần Tập đoàn BGI,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
NTH,Công ty Cổ phần Thủy điện Nước Trong,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
TDP,Công ty Cổ phần Thuận Đức,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
TDS,Công ty Cổ phần Thép Thủ Đức - VNSTEEL,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
TDT,Công ty Cổ phần Đầu tư và Phát triển TDT,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
TDW,Công ty Cổ phần Cấp nước Thủ Đức,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
CET,Công ty Cổ phần HTC Holding,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng cá nhân,CT,3000,3700,3760,3767
TED,Tổng Công ty Tư vấn Thiết kế Giao thông Vận tải - CTCP,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TEG,Công ty Cổ phần Năng Lượng và Bất động sản Trường Thành,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
TEL,Công ty Cổ phần Phát triển Công trình Viễn thông,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TET,Công ty Cổ phần Vải sợi May mặc Miền Bắc,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
TFC,Công ty Cổ phần Trang,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
TGG,Công ty Cổ phần The Golden Group,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TH1,Công ty Cổ phần Xuất nhập khẩu Tổng hợp I Việt Nam,Phân phối thực phẩm & dược phẩm,Bán lẻ,Phân phối thực phẩm,CT,5000,5300,5330,5337
VDB,Công ty Cổ phần Vận tải và Chế biến Than Đông Bắc,Khai khoáng,Tài nguyên Cơ bản,Khai thác Than,CT,1000,1700,1770,1771
TNV,Công ty Cổ phần Thống Nhất Hà Nội,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng cá nhân,CT,3000,3700,3760,3767
MTB,Công ty Cổ phần Môi trường và Công trình đô thị tỉnh Thái Bình,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
VE2,Công ty Cổ phần Xây dựng Điện VNECO 2,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BTB,Công ty Cổ phần Bia Hà Nội - Thái Bình,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
VFS,Công ty Cổ phần Chứng khoán Nhất Việt,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
VIC,Tập đoàn Vingroup - Công ty CP,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
THD,Công ty Cổ phần Thaiholdings,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",CT,8000,8600,8630,8637
TIE,Công ty Cổ phần TIE,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT,2000,2700,2730,2733
TLD,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
TLI,Công ty Cổ phần May Quốc tế Thắng Lợi,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
THT,Công ty Cổ phần Than Hà Tu - Vinacomin,Khai khoáng,Tài nguyên Cơ bản,Khai thác Than,CT,1000,1700,1770,1771
TLT,Công ty Cổ phần Viglacera Thăng Long,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
TQN,Công ty Cổ phần Thông Quảng Ninh,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT,1000,1700,1730,1733
SB1,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
VTD,Công ty Cổ phần Vietourist Holdings,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
THS,Công ty Cổ phần Thanh Hoa Sông Đà,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
THU,Công ty Cổ phần Môi trường và Công trình đô thị Thanh Hóa,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
TMW,Công ty Cổ phần Tổng hợp Gỗ Tân Mai,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT,1000,1700,1730,1733
TAN,Công ty Cổ phần Cà phê Thuận An,Bia và đồ uống,Thực phẩm và đồ uống,Đồ uống & giải khát,CT,3000,3500,3530,3537
TNS,Công ty Cổ phần Thép tấm lá Thống Nhất,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
TNM,Công ty Cổ phần Xuất nhập khẩu và Xây dựng Công trình,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TVD,Công ty Cổ phần Than Vàng Danh - Vinacomin,Khai khoáng,Tài nguyên Cơ bản,Khai thác Than,CT,1000,1700,1770,1771
TXM,Công ty Cổ phần VICEM Thạch cao Xi Măng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
THW,Công ty Cổ phần Cấp nước Tân Hòa,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
FCC,Công ty Cổ phần Liên hợp Thực phẩm,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
TTH,Công ty Cổ phần Thương mại và Dịch vụ Tiến Thành,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
TIG,Công ty Cổ phần Tập đoàn Đầu tư Thăng Long,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
TNT,Công ty Cổ phần Tập đoàn TNT,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
TID,Công ty Cổ phần Tổng Công ty Tín Nghĩa,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
VAV,Công ty Cổ phần VIWACO,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
TIP,Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
DTG,Công ty Cổ phần Dược phẩm Tipharco,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
TVM,Công ty Cổ phần Tư vấn đầu tư Mỏ và công nghiệp - Vinacomin,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ KD,CT,2000,2700,2790,2791
TIS,Công ty Cổ phần Gang thép Thái Nguyên,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
TIX,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
TJC,Công ty Cổ phần Dịch vụ Vận tải và Thương mại,Vận tải,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT,2000,2700,2770,2779
TMG,Công ty Cổ phần Kim loại màu Thái Nguyên - Vimico,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
TKC,Công ty Cổ phần Xây dựng và Kinh doanh Địa ốc Tân Kỷ,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TKG,Công ty Cổ phần Sản xuất và Thương mại Tùng Khánh,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
TKU,Công ty Cổ phần Công nghiệp Tung Kuang,Kim loại,Tài nguyên Cơ bản,Nhôm,CT,1000,1700,1750,1753
TL4,Tổng Công ty Xây dựng Thủy lợi 4 - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TPP,Công ty Cổ phần Tân Phú Việt Nam,Hàng công nghiệp,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT,2000,2700,2720,2723
TNG,Công ty Cổ phần Đầu tư và Thương mại TNG,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
TLG,Công ty Cổ phần Tập đoàn Thiên Long,Hàng gia dụng,Hàng cá nhân & Gia dụng,Đồ gia dụng một lần,CT,3000,3700,3720,3724
TTL,Tổng Công ty Thăng Long - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DTK,Tổng Công ty Điện lực TKV - Công ty Cổ phần,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
THP,Công ty Cổ phần Thủy sản và Thương mại Thuận Phước,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
MBS,Công ty Cổ phần Chứng khoán MB,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
TMC,Công ty Cổ phần Thương mại Xuất nhập khẩu Thủ Đức,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
TAR,Công ty Cổ phần Nông nghiệp Công nghệ cao Trung An,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
VVN,Tổng Công ty Cổ phần Xây dựng Công nghiệp Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TMP,Công ty Cổ phần Thủy điện Thác Mơ,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
TMS,Công ty Cổ phần Transimex,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
TMT,Công ty Cổ phần Ô tô TMT,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,CT,3000,3300,3350,3353
TTT,Công ty Cổ phần Du Lịch - Thương Mại Tây Ninh,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
TMX,Công ty Cổ phần VICEM Thương mại Xi măng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
TN1,Công ty Cổ phần Rox Key Holdings,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
TNA,Công ty Cổ phần Thương mại Xuất nhập khẩu Thiên Nam,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
TNB,Công ty Cổ phần Thép Nhà Bè - VNSTEEL,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
STH,Công ty Cổ phần Phát hành sách Thái Nguyên,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT,5000,5500,5550,5557
GDA,Công ty Cổ phần Tôn Đông Á,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
BAX,Công ty Cổ phần Thống Nhất,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
VE3,Công ty Cổ phần Xây dựng điện VNECO 3,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TNP,Công ty Cổ phần Cảng Thị Nại,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
VPS,Công ty Cổ phần Thuốc sát trùng Việt Nam,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
VIT,Công ty Cổ phần Viglacera Tiên Sơn,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
VE8,Công ty Cổ phần Xây dựng Điện Vneco 8,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
TCJ,Công ty Cổ phần Tô Châu,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
VWS,Công ty Cổ phần Nước và Môi trường Việt Nam,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
TOP,Công ty Cổ phần Phân phối Top One,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
TOT,Công ty Cổ phần Transimex Logistics,Vận tải,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT,2000,2700,2770,2779
BCF,Công ty Cổ phần Thực phẩm Bích Chi,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
TPC,Công ty Cổ phần Nhựa Tân Đại Hưng,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
TPH,Công ty Cổ phần In Sách giáo khoa tại Thành phố Hà Nội,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT,5000,5500,5550,5557
VHL,Công ty Cổ phần Viglacera Hạ Long,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
TRA,Công ty Cổ phần Traphaco,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
